@RELATION banking_fraud

@ATTRIBUTE age NUMERIC
@ATTRIBUTE gender {Female,Male}
@ATTRIBUTE occupation {Business,Retired,Salaried,Self_Employed,Student}
@ATTRIBUTE account_type {Current,Savings}
@ATTRIBUTE account_balance NUMERIC
@ATTRIBUTE transaction_type {Cash_Withdrawal,Deposit,Payment,Transfer}
@ATTRIBUTE payment_method {Card,Cash,Net_Banking,UPI,Wallet}
@ATTRIBUTE channel {ATM,Branch,Mobile,Web}
@ATTRIBUTE amount NUMERIC
@ATTRIBUTE transaction_hour NUMERIC
@ATTRIBUTE age_band {Adult,Elderly,Middle_Aged,Senior,Young}
@ATTRIBUTE fraud {0,1}

@DATA
56,Male,Self_Employed,Savings,69783.16,Cash_Withdrawal,Card,Branch,1101.27,0,Senior,0
69,Male,Self_Employed,Current,31308.29,Deposit,UPI,ATM,50.92,6,Elderly,0
46,Female,Business,Savings,8422.71,Payment,UPI,Branch,1043.53,20,Middle_Aged,0
32,Male,Salaried,Savings,24955.89,Payment,UPI,Mobile,1902.75,15,Adult,0
60,Male,Salaried,Savings,30259.73,Transfer,Net_Banking,Mobile,135.71,16,Senior,0
25,Male,Salaried,Current,74782.34,Payment,UPI,ATM,1146.19,23,Young,0
38,Female,Salaried,Savings,27325.25,Payment,Net_Banking,Branch,1026.07,4,Middle_Aged,0
56,Female,Self_Employed,Current,10230.37,Cash_Withdrawal,Cash,ATM,688.63,21,Senior,0
36,Male,Student,Savings,59297.83,Payment,Cash,Web,4054.66,22,Middle_Aged,0
40,Female,Self_Employed,Savings,22425.79,Transfer,UPI,Web,3189.68,9,Middle_Aged,0
28,Female,Salaried,Current,3511.51,Cash_Withdrawal,Card,Mobile,30263.18,6,Adult,1
28,Male,Salaried,Savings,34891.12,Deposit,Card,Branch,326.06,12,Adult,0
41,Male,Self_Employed,Savings,40159.61,Payment,UPI,ATM,1683.52,6,Middle_Aged,0
70,Female,Self_Employed,Current,13706.83,Payment,Net_Banking,Web,4914.15,14,Elderly,0
53,Male,Salaried,Current,23071.73,Deposit,Cash,Mobile,548.84,16,Senior,0
57,Female,Salaried,Savings,45532.14,Deposit,UPI,Mobile,5950.65,22,Senior,0
41,Female,Salaried,Savings,35081.45,Transfer,Net_Banking,ATM,1579.56,2,Middle_Aged,0
20,Female,Student,Current,7706.92,Payment,UPI,Web,191.2,4,Young,0
39,Female,Salaried,Savings,73338.44,Payment,Card,Branch,303.12,9,Middle_Aged,0
70,Female,Salaried,Current,105352.22,Transfer,Card,ATM,613.79,4,Elderly,0
19,Female,Salaried,Savings,17887.42,Transfer,UPI,ATM,1004.02,23,Young,0
41,Male,Business,Savings,5837.76,Deposit,Cash,Branch,3783.64,6,Middle_Aged,0
61,Male,Salaried,Current,49855.81,Transfer,Cash,ATM,1002.58,6,Senior,0
47,Female,Salaried,Savings,15701.73,Deposit,Cash,Mobile,3638.38,21,Middle_Aged,0
55,Female,Salaried,Savings,41289.32,Payment,UPI,Mobile,1221.64,22,Senior,0
19,Female,Business,Savings,156644.84,Cash_Withdrawal,UPI,Mobile,1110.29,13,Young,0
38,Male,Self_Employed,Savings,7808.39,Transfer,UPI,Web,818.98,22,Middle_Aged,0
50,Female,Salaried,Savings,14224.25,Deposit,Wallet,Branch,2927.85,14,Middle_Aged,0
29,Male,Self_Employed,Current,23026.85,Transfer,UPI,Mobile,1248.22,4,Adult,1
39,Female,Salaried,Savings,75609.91,Deposit,Card,Web,527.13,4,Middle_Aged,0
61,Female,Salaried,Savings,462542.49,Deposit,Net_Banking,Web,1528.56,3,Senior,0
42,Male,Salaried,Current,32783.09,Deposit,Net_Banking,Mobile,694.14,19,Middle_Aged,0
66,Male,Salaried,Savings,7289.73,Payment,Net_Banking,ATM,656.82,20,Elderly,0
44,Female,Business,Savings,20405.97,Deposit,Wallet,Web,3578.32,8,Middle_Aged,0
59,Female,Self_Employed,Savings,14474.0,Payment,Card,Mobile,935.08,11,Senior,0
45,Female,Salaried,Current,47919.05,Transfer,UPI,Mobile,9270.53,15,Middle_Aged,1
33,Male,Business,Savings,36370.3,Transfer,UPI,Branch,2287.61,21,Adult,0
32,Male,Business,Savings,11690.7,Transfer,UPI,Web,509.9,7,Adult,0
